dist,space,own,resp,Midbreak
1,EPS,O,n,n
1,EPS,S,n,n
1,PPS,S,n,n
1,EPS,O,n,n
1,PPS,O,n,n
2,BOUND,S,y,n
1,PPS,S,n,n
1,PPS,O,n,n
1,EPS,O,n,n
1,PPS,S,n,n
3,BOUND,O,n,n
1,EPS,O,n,n
1,EPS,S,y,n
1,BOUND,S,n,n
1,PPS,O,n,n
2,EPS,O,n,n
1,EPS,O,y,n
1,PPS,O,n,n
1,BOUND,S,n,n
1,PPS,O,y,n
2,PPS,O,n,n
2,EPS,O,n,n
1,EPS,S,n,n
1,EPS,S,n,n
2,PPS,O,n,n
1,PPS,S,n,n
2,PPS,O,n,n
2,PPS,O,n,n
3,BOUND,O,n,n
2,PPS,S,n,n
2,EPS,O,n,n
3,PPS,S,y,n
2,PPS,S,n,n
2,PPS,S,n,n
3,PPS,O,n,n
1,EPS,S,n,n
2,EPS,O,n,n
3,PPS,O,n,n
2,EPS,S,n,n
2,EPS,S,n,n
3,EPS,O,n,n
2,EPS,S,n,n
2,EPS,S,n,n
1,BOUND,O,n,n
2,PPS,S,n,n
3,EPS,O,n,n
3,EPS,O,n,n
3,PPS,S,n,n
3,PPS,S,n,n
3,EPS,S,n,n
3,EPS,O,n,n
3,EPS,S,n,n
3,EPS,S,n,n
3,PPS,O,n,n
3,BOUND,O,y,n
3,PPS,S,n,n
3,PPS,O,n,n
3,BOUND,S,n,n
3,EPS,S,n,n
3,PPS,S,n,n
