dist,space,own,resp,Midbreak,LoopTask.thisRepN,LoopTask.thisTrialN,LoopTask.thisN,LoopTask.thisIndex,Bloc_1.thisRepN,Bloc_1.thisTrialN,Bloc_1.thisN,Bloc_1.thisIndex,KeyA,KeyB,Owner,Other,key_instruct.started,text_norm_2.started,image.started,picload.started,jitter,Mask_2.started,Mask_2.stopped,pos,space,col,name,trialtype,Stim.started,key_resp.keys,text_2.started,key_resp.started,key_resp.rt,participant,Owner,KeyA,threshold,date,expName,psychopyVersion,frameRate,
3,PPS,S,n,n,0,0,0,0,0,0,0,0,a,b,yellow,blue,44.25087599999824,44.25087599999824,44.25087599999824,0.045103199998266064,2,69.2152999999962,71.274599700002,35,PPS,y,stim_35_y_u.jpg,test,71.274599700002,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
1,PPS,S,y,n,0,0,0,0,0,1,1,1,a,,yellow,,,,,,2,73.72903019999649,75.79696569999942,25,PPS,y,stim_25_y_u.jpg,filler,75.79696569999942,None,78.25943269999698,78.25943269999698,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
1,PPS,S,n,n,0,0,0,0,0,2,2,2,a,,yellow,,,,,,2,79.4574031000011,81.52603999999701,25,PPS,y,stim_25_y_u.jpg,test,81.52603999999701,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
1,EPS,S,n,n,0,0,0,0,0,3,3,3,a,,yellow,,,,,,6,83.98640909999813,90.05028959999618,75,EPS,y,stim_75_y_u.jpg,test,90.05028959999618,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
1,PPS,O,n,n,0,0,0,0,0,4,4,4,a,,yellow,,,,,,6,92.51203939999687,98.57933149999735,25,PPS,b,stim_25_b_u.jpg,test,98.57933149999735,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
1,PPS,O,n,n,0,0,0,0,0,5,5,5,a,,yellow,,,,,,2,101.03732519999903,103.11558749999676,25,PPS,b,stim_25_b_u.jpg,test,103.11558749999676,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
1,PPS,S,n,n,0,0,0,0,0,6,6,6,a,,yellow,,,,,,4,105.56617499999993,109.63161039999977,25,PPS,y,stim_25_y_u.jpg,test,109.63161039999977,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
1,EPS,O,n,n,0,0,0,0,0,7,7,7,a,,yellow,,,,,,2,112.09357330000057,114.16431220000231,75,EPS,b,stim_75_b_u.jpg,test,114.16431220000231,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
3,BOUND,O,n,n,0,0,0,0,0,8,8,8,a,,yellow,,,,,,2,116.62236619999749,118.69408120000298,75,BOUND,b,stim_75_b_u.jpg,test,118.69408120000298,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
1,PPS,S,n,n,0,0,0,0,0,9,9,9,a,,yellow,,,,,,12,121.15065099999629,133.2105212000024,25,PPS,y,stim_25_y_u.jpg,test,133.2105212000024,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
1,PPS,O,n,n,0,0,0,0,0,10,10,10,a,,yellow,,,,,,4,135.6702729000026,139.73077940000076,25,PPS,b,stim_25_b_u.jpg,test,139.73077940000076,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
3,BOUND,S,y,n,0,0,0,0,0,11,11,11,a,,yellow,,,,,,2,142.19780970000284,144.25678090000292,25,BOUND,y,stim_25_y_u.jpg,filler,144.25678090000292,None,146.72642149999592,146.72642149999592,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
1,BOUND,S,n,n,0,0,0,0,0,12,12,12,a,,yellow,,,,,,2,147.9250716999959,149.9751843999984,25,BOUND,y,stim_25_y_u.jpg,test,149.9751843999984,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
1,PPS,O,n,n,0,0,0,0,0,13,13,13,a,,yellow,,,,,,4,152.43822689999797,156.50717189999705,25,PPS,b,stim_25_b_u.jpg,test,156.50717189999705,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
1,EPS,O,n,n,0,0,0,0,0,14,14,14,a,,yellow,,,,,,2,158.96547640000063,161.04270820000238,75,EPS,b,stim_75_b_u.jpg,test,161.04270820000238,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
1,EPS,S,n,n,0,0,0,0,0,15,15,15,a,,yellow,,,,,,6,163.47846990000107,169.53389569999854,75,EPS,y,stim_75_y_u.jpg,test,169.53389569999854,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
1,PPS,S,n,n,0,0,0,0,0,16,16,16,a,,yellow,,,,,,2,172.00419520000287,174.08696950000012,25,PPS,y,stim_25_y_u.jpg,test,174.08696950000012,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
1,EPS,S,n,n,0,0,0,0,0,17,17,17,a,,yellow,,,,,,4,176.53319239999837,180.61223040000186,75,EPS,y,stim_75_y_u.jpg,test,180.61223040000186,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
2,PPS,O,n,n,0,0,0,0,0,18,18,18,a,,yellow,,,,,,2,183.06073759999708,185.1318601000021,30,PPS,b,stim_30_b_u.jpg,test,185.1318601000021,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
1,EPS,O,y,n,0,0,0,0,0,19,19,19,a,,yellow,,,,,,10,187.58938160000253,197.65431720000197,75,EPS,b,stim_75_b_u.jpg,filler,197.65431720000197,b,200.11147340000025,200.11147340000025,0.6274477999977535,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
2,PPS,S,n,n,0,0,0,0,0,20,20,20,a,,yellow,,,,,,4,201.31013240000175,205.40005810000002,30,PPS,y,stim_30_y_u.jpg,test,205.40005810000002,None,,,,F0101,yellow,a,50,2023-09-28_19h49.22.432,Ownership,2023.1.2,60.11855378708534,
